policy,episodes,avg_return,std_return,avg_length,std_length,avg_forward_distance,std_forward_distance,avg_velocity,std_velocity,avg_energy_cost,std_energy_cost,fall_rate
SAC:sac_normal_1000000_steps,30,3204.393,79.477,1000.0,0.0,177.157,4.154,3.5429,0.0831,2.6747,0.0259,0.0
SAC:sac_normal_100000_steps,30,747.537,314.955,993.3,35.9,26.984,8.766,0.5426,0.1728,1.5781,0.3733,0.033
SAC:sac_normal_10000_steps,30,-291.842,177.854,677.9,344.4,0.171,2.979,0.0247,0.0896,2.8668,0.0925,0.6
SAC:sac_normal_200000_steps,30,1658.524,276.26,1000.0,0.0,73.3,19.634,1.466,0.3927,1.6127,0.2572,0.0
SAC:sac_normal_25000_steps,30,104.008,104.143,911.0,189.1,4.252,4.624,0.0938,0.1014,1.958,0.0797,0.2
SAC:sac_normal_400000_steps,30,3069.465,126.093,1000.0,0.0,152.854,5.917,3.0568,0.1183,1.9727,0.0364,0.0
SAC:sac_normal_50000_steps,30,492.334,163.923,928.4,218.6,15.589,6.761,0.3292,0.1197,1.6173,0.0643,0.133
SAC:sac_normal_800000_steps,30,3849.902,106.105,1000.0,0.0,201.627,5.334,4.0323,0.1067,2.3631,0.0414,0.0
