policy,episodes,avg_return,std_return,avg_length,std_length,avg_forward_distance,std_forward_distance,avg_velocity,std_velocity,avg_energy_cost,std_energy_cost,fall_rate
SAC:sac_normal_1000000_steps,30,4379.065,553.894,968.4,121.3,225.866,28.543,4.6667,0.1375,2.2841,0.033,0.067
SAC:sac_normal_100000_steps,30,494.018,285.98,676.0,407.3,8.724,8.269,0.4422,0.3707,1.2345,0.3749,0.4
SAC:sac_normal_10000_steps,30,-52.179,102.85,130.0,239.5,0.394,1.374,0.0717,0.4216,2.9562,0.1672,0.933
SAC:sac_normal_200000_steps,30,710.57,436.215,610.6,404.5,20.065,17.472,0.9818,0.6207,1.2918,0.5242,0.533
SAC:sac_normal_25000_steps,30,30.543,66.687,595.1,419.7,1.655,3.192,0.138,0.2567,2.0546,0.1264,0.5
SAC:sac_normal_400000_steps,30,1638.221,1015.683,617.9,367.4,76.694,50.232,2.5946,0.6641,1.7437,0.2989,0.633
SAC:sac_normal_50000_steps,30,194.079,113.61,505.7,390.5,4.175,2.8,0.2852,0.2134,1.6198,0.1351,0.633
SAC:sac_normal_800000_steps,30,3091.743,1526.887,811.0,341.1,150.074,78.411,3.644,1.0414,1.8029,0.2913,0.267
